Donaciones en Especie — Terremoto en Colombia (10 de agosto de 2026),,,,
ASPECTOS AL TENER EN CUENTA ANTES DE DONAR: https://drive.google.com/file/d/1N3fp-drEMWVZU1X9GFIH6brFpbM4JZuW/view,,,,
"Esta pestaña dejó de ser actualizada el miércoles 12 de agosto. Para información actualizada y nuevas sugerencias de donación, visite www.tinyurl.com/AyudaColHub",,,,
Se recomienda revisar los horarios de donación en las cuentas de redes sociales de quienes las organizan,,,,
"Empresas dedicadas a la recolección y logística de donaciones (contactar para más detalles): Staff Cycling,  Más Compost y Menos Basura;  Mercado Circular RAW",,,,
Ciudad / Región,Organización,"Detalle (dirección, cuenta, enlace)",Qué se necesita,Contacto / Más información
Kissimmee (FL),Amore Protein House / Ebenezer Multiservice Agency,"2588 Michigan Ave, Kissimmee (FL), 34744","Alimentos no perecederos, fórmula y pañales, artículos de aseo, ropa y calzado, alimentos para mascotas, artículos de primera necesidad. Se recibirán hasta el 14 de agosto.","https://www.instagram.com/amore_protein_house/p/Db5g8wUxjTF/

Rocío Sierra: +14075058750"
Nueva York,Colombianos en New York,18 centros de acopio en el estado de Nueva York (ver acá: https://www.instagram.com/p/Db8qjutlGl_/?img_index=1),"Productos de higiene, artículos para bebés, primeros auxilios, suministros de emergencia, productos de limpieza. Solo reciben artículos nuevos y sin abrir.","https://www.instagram.com/p/Db8qjutlGl_/?img_index=1 
johnlondonoevents@capamembers.com
+19295227195"
CAUCA,,,,
Popayán,Fundación Amigos por una Nueva Colombia,Carrera 6C # 31N-46. Salón Social - Guaduales de la Hacienda Aptos,"Alimentos no perecederos, cobijas o frazadas, sábanas, almohadas, colchonetas, sacos para dormir","-Gina Rodríguez: +57 3137460152
-Luisa Coral: +57 316 4660087
-Gabriel Lozano:+57 319 719 5796"
SUCRE,,,,
Sincelejo,Cruz Roja / Alcaldía de Sincelejo,Calle 28 #25A-246,"Agua potable, cobijas, mantas, colchonetas, alimentos no perecederos, aseo personal, primeros auxilios",https://www.instagram.com/p/Db9Ig_wnCVC/?img_index=3
MAGDALENA,,,,
Santa Marta,Cruz Roja,Carrera 5 #25-27,"Agua potable, cobijas, mantas, colchonetas, alimentos no perecederos, aseo personal, primeros auxilios",https://www.instagram.com/p/Db9Ig_wnCVC/?img_index=3
NARIÑO,,,,
Pasto,Universidad de Nariño,Auditorio Luis Santander,"Alimentos no perecederos, agua potable, cobijas y frazadas, kits de higiene",https://www.instagram.com/p/Db5_M2ekaNp/?img_index=2
Pasto,Parking Food Truck,Carrera 27 # 13-61,"Agua, alimentos no perecederos, productos de aseo, ropa y cobijas, medicamentos básicos, alimentos para mascotas",https://www.instagram.com/p/Db5_M2ekaNp/?img_index=4
Pasto,Plataforma Municipal de Juventud,Carrera 21A # 19-37,"Alimentos no perecederos, agua potable, bebidas hidratantes, elementos de aseo e higiene personal, cobijas, frazadas, ropa en buen estado, implementos de primera necesidad. Recolección hasta el sábado 15 de agosto.",https://www.instagram.com/p/Db5_M2ekaNp/?img_index=6
Pasto,Clinimedical Group,Calle 16D # 40-49,"Alimentos no perecederos, agua, elementos de aseo e higiene personal, artículos para bebé, ropa y cobijas, artículos para animales, medicinas e insumos médicos, otros elementos de primera necesidad",https://www.instagram.com/p/Db5_M2ekaNp/?img_index=11
ESPAÑA,,,,
Madrid,,Exterior del Ayuntamiento de Usera. 12 de agosto a partir de las 10am.,"Productos de higiene personal, iluminación, abrigo y descanso, primeros auxilios y para bebés y niños",https://www.instagram.com/p/Db6ggowRkzY/
